Orden,Linea Colectivo,Ramal,Nº Camara,Ciudad,Latitud,Longitud,Direccion
83,523,,103,Mar del Plata,-57.5441499,-38.0064477,"Avenida Colon y Tucuman, Mar del Plata, Provincia de Buenos Aires, Argentina"
84,523,,80,Mar del Plata,-57.5431804,-38.0035742,"Buenos Aires 1900, Mar del Plata, Provincia de Buenos Aires, Argentina"
85,523,,705,Mar del Plata,-57.5415961,-38.0009489,"Avenida Pedro Luro & Buenos Aires, Mar del Plata, Provincia de Buenos Aires, Argentina"
86,523,,436,Mar del Plata,-57.5462189,-37.9986082,"Avenida Pedro Luro & Córdoba, Mar del Plata, Provincia de Buenos Aires, Argentina"
87,523,,57,Mar del Plata,-57.5491867,-37.9970932,"Avenida Pedro Luro & Hipólito Yrigoyen, Mar del Plata, Provincia de Buenos Aires, Argentina"
88,523,,56,Mar del Plata,-57.5512087,-37.9960776,"Avenida Pedro Luro & Catamarca, Mar del Plata, Provincia de Buenos Aires, Argentina"
89,523,,581,Mar del Plata,-57.5542638,-37.9979617,"Avenida Independencia & Belgrano, Mar del Plata, Provincia de Buenos Aires, Argentina"
90,523,,482,Mar del Plata,-57.5583435,-37.9959136,"Belgrano & 20 de Septiembre, Mar del Plata, Provincia de Buenos Aires, Argentina"
91,523,,117,Mar del Plata,-57.5643311,-37.9928746,"San Juan & Belgrano, Mar del Plata, Provincia de Buenos Aires, Argentina"
92,523,,540,Mar del Plata,-57.5702828,-37.9898498,"Don Bosco & Belgrano, Mar del Plata, Provincia de Buenos Aires, Argentina"
93,523,,23,Mar del Plata,-57.5743265,-37.991243,"Avenida Colon y Avenida Juan Héctor Jara, Mar del Plata, Provincia de Buenos Aires, Argentina"
94,523,,448,Mar del Plata,-57.5769418,-37.9944888,"Avenida Juan Héctor Jara & Alberti, Mar del Plata, Provincia de Buenos Aires, Argentina"
95,523,,562,Mar del Plata,-57.5795038,-37.997633,"Avenida Juan Héctor Jara & Alvarado, Mar del Plata, Provincia de Buenos Aires, Argentina"
96,523,,135,Mar del Plata,-57.580792,-37.9991874,"Avenida Juan Héctor Jara & San Lorenzo, Mar del Plata, Provincia de Buenos Aires, Argentina"
97,523,,447,Mar del Plata,-57.5846452,-38.0039636,"Avenida Juan Héctor Jara & Matheu, Mar del Plata, Provincia de Buenos Aires, Argentina"
98,523,,145,Mar del Plata,-57.5871294,-38.0069555,"Avenida Juan B. Justo & Avenida Juan Héctor Jara, Mar del Plata, Provincia de Buenos Aires, Argentina"
99,523,,468,Mar del Plata,-57.5904583,-38.009728,"Avenida Polonia & 12 de Octubre, Mar del Plata, Provincia de Buenos Aires, Argentina"
100,523,,406,Mar del Plata,-57.592101,-38.0110968,"Avenida Polonia & Ayolas, Mar del Plata, Provincia de Buenos Aires, Argentina"
101,523,,74,Mar del Plata,-57.602293,-38.0111245,"Avenida Vertiz & Reforma Universitaria, Mar del Plata, Provincia de Buenos Aires, Argentina"
102,523,,219,Mar del Plata,-57.6055768,-38.0138275,"Reforma Universitaria & Tripulantes del Fournier, Mar del Plata, Provincia de Buenos Aires, Argentina"
103,523,,325,Mar del Plata,-57.6058552,-38.0154213,"J. Goñi & Soler, Mar del Plata, Provincia de Buenos Aires, Argentina"
104,523,,472,Mar del Plata,-57.6140272,-38.0127544,"Fortunato de la Plaza y Tetamanti, Mar del Plata, Provincia de Buenos Aires, Argentina"
105,523,,323,Mar del Plata,-57.6198932,-38.0174776,"Avenida Victorio Tetamanti & Gutemberg, Mar del Plata, Provincia de Buenos Aires, Argentina"
106,523,,578,Mar del Plata,-57.5385752,-38.0082574,"Alsina 2100, Mar del Plata, Provincia de Buenos Aires, Argentina"
107,531,Belisario Roldan,310,Mar del Plata,-57.6073873,-37.9517839,"Beruti 9600, Mar del Plata, Provincia de Buenos Aires, Argentina"
108,531,Belisario Roldan,599,Mar del Plata,-57.6044113,-37.9532762,"Beruti & República Árabe Siria, Mar del Plata, Provincia de Buenos Aires, Argentina"
109,531,Belisario Roldan,14,Mar del Plata,-57.5853132,-37.9629357,"Avenida Doctor Arturo Alió & Beruti, Mar del Plata, Provincia de Buenos Aires, Argentina"
110,531,Belisario Roldan,13,Mar del Plata,-57.5878912,-37.9661062,"Avenida Doctor Arturo Alió & Ituzaingó, Mar del Plata, Provincia de Buenos Aires, Argentina"
111,531,Belisario Roldan,327,Mar del Plata,-57.5905714,-37.9692425,"Avenida Libertad & Avenida Doctor Arturo Alió, Mar del Plata, Provincia de Buenos Aires, Argentina"
112,531,Belisario Roldan,432,Mar del Plata,-57.5874362,-37.9708284,"Avenida Libertad & Remedios de Escalada, Mar del Plata, Provincia de Buenos Aires, Argentina"
113,531,Belisario Roldan,341,Mar del Plata,-57.5865058,-37.9714155,"Avenida Libertad & Estado de Israel, Mar del Plata, Provincia de Buenos Aires, Argentina"
114,531,Belisario Roldan,125,Mar del Plata,-57.5792254,-37.9748161,"Libertad y champagnat, Mar del Plata, Provincia de Buenos Aires, Argentina"
115,531,Belisario Roldan,137,Mar del Plata,-57.574544,-37.9774175,"Avenida Libertad & Teodoro Bronzini, Mar del Plata, Provincia de Buenos Aires, Argentina"
116,531,Belisario Roldan,537,Mar del Plata,-57.5715179,-37.9789566,"México & Avenida Libertad, Mar del Plata, Provincia de Buenos Aires, Argentina"
117,531,Belisario Roldan,51,Mar del Plata,-57.5685616,-37.980484,"Avenida Libertad & Marconi, Mar del Plata, Provincia de Buenos Aires, Argentina"
118,531,Belisario Roldan,49,Mar del Plata,-57.5665035,-37.9814584,"Avenida Libertad & Avenida Juan Héctor Jara, Mar del Plata, Provincia de Buenos Aires, Argentina"
119,531,Belisario Roldan,431,Mar del Plata,-57.5624579,-37.9835775,"Avenida Libertad 4600, Mar del Plata, Provincia de Buenos Aires, Argentina"
120,531,Belisario Roldan,102,Mar del Plata,-57.558436,-37.9855698,"Avenida Libertad & San Juan, Mar del Plata, Provincia de Buenos Aires, Argentina"
121,531,Belisario Roldan,508,Mar del Plata,-57.5504221,-37.9896194,"Avenida Libertad & Jujuy, Mar del Plata, Provincia de Buenos Aires, Argentina"
122,531,Belisario Roldan,703,Mar del Plata,-57.5483354,-37.9906601,"Avenida Libertad & Avenida Independencia, Mar del Plata, Provincia de Buenos Aires, Argentina"
123,531,Belisario Roldan,202,Mar del Plata,-57.5503209,-37.9930958,"Avenida Independencia & 3 de Febrero, Mar del Plata, Provincia de Buenos Aires, Argentina"
124,531,Belisario Roldan,59,Mar del Plata,-57.5533841,-37.9949944,"Avenida Pedro Luro & Salta, Mar del Plata, Provincia de Buenos Aires, Argentina"
125,531,Belisario Roldan,596,Mar del Plata,-57.5522649,-37.9955452,"Avenida Independencia & Avenida Pedro Luro, Mar del Plata, Provincia de Buenos Aires, Argentina"
126,531,Belisario Roldan,56,Mar del Plata,-57.5512087,-37.9960776,"Avenida Pedro Luro & Catamarca, Mar del Plata, Provincia de Buenos Aires, Argentina"
127,531,Belisario Roldan,57,Mar del Plata,-57.5491867,-37.9970932,"Avenida Pedro Luro & Hipólito Yrigoyen, Mar del Plata, Provincia de Buenos Aires, Argentina"
128,531,Belisario Roldan,85,Mar del Plata,-57.5470348,-37.9978925,"Diagonal Alberdi Sur & San Luis, Mar del Plata, Provincia de Buenos Aires, Argentina"
129,531,Belisario Roldan,436,Mar del Plata,-57.5462189,-37.9986082,"Avenida Pedro Luro & Córdoba, Mar del Plata, Provincia de Buenos Aires, Argentina"
130,531,Belisario Roldan,705,Mar del Plata,-57.5415961,-38.0009489,"Avenida Pedro Luro & Buenos Aires, Mar del Plata, Provincia de Buenos Aires, Argentina"
131,531,Belisario Roldan,80,Mar del Plata,-57.5431804,-38.0035742,"Buenos Aires 1900, Mar del Plata, Provincia de Buenos Aires, Argentina"
132,531,Belisario Roldan,571,Mar del Plata,-57.5477932,-38.0092309,"Alberti & Buenos Aires, Mar del Plata, Provincia de Buenos Aires, Argentina"
133,531,Belisario Roldan,570,Mar del Plata,-57.5457799,-38.0102407,"Alberti & Arenales, Mar del Plata, Provincia de Buenos Aires, Argentina"
134,531,Belisario Roldan,457,Mar del Plata,-57.5450599,-38.0128302,"Garay & Las Heras, Mar del Plata, Provincia de Buenos Aires, Argentina"
135,531,Belisario Roldan,151,Mar del Plata,-57.5568695,-38.013544,"Santiago del Estero & Rodríguez Peña, Mar del Plata, Provincia de Buenos Aires, Argentina"
136,531,Belisario Roldan,88,Mar del Plata,-57.5700073,-38.0068817,"Dorrego & Rodríguez Peña, Mar del Plata, Provincia de Buenos Aires, Argentina"
137,531,Belisario Roldan,398,Mar del Plata,-57.5861177,-37.9987317,"Chile & Rodríguez Peña, Mar del Plata, Provincia de Buenos Aires, Argentina"
138,531,Belisario Roldan,114,Mar del Plata,-57.5901096,-37.9967059,"Rodríguez Peña & Teodoro Bronzini, Mar del Plata, Provincia de Buenos Aires, Argentina"
139,531,Belisario Roldan,563,Mar del Plata,-57.5921228,-37.9956927,"Rodríguez Peña & Juncal, Mar del Plata, Provincia de Buenos Aires, Argentina"
140,531,Belisario Roldan,128,Mar del Plata,-57.5980671,-37.9926624,"Rodríguez Peña & Tres Arroyos, Mar del Plata, Provincia de Buenos Aires, Argentina"
141,531,Belisario Roldan,127,Mar del Plata,-57.5995298,-37.9875027,"Alvarado & Estado de Israel, Mar del Plata, Provincia de Buenos Aires, Argentina"
142,531,Belisario Roldan,16,Mar del Plata,-57.6035806,-37.9854445,"Avenida Doctor Arturo Alió & Alvarado, Mar del Plata, Provincia de Buenos Aires, Argentina"
143,531,Belisario Roldan,396,Mar del Plata,-57.6100177,-37.9810674,"Castelli 8099, Mar del Plata, Provincia de Buenos Aires, Argentina"
144,532,Barrio Regional,16,Mar del Plata,-57.6035806,-37.9854445,"Avenida Doctor Arturo Alió & Alvarado, Mar del Plata, Provincia de Buenos Aires, Argentina"
145,532,Barrio Regional,475,Mar del Plata,-57.6061479,-37.9885865,"Avenida Doctor Arturo Alió & Rodríguez Peña,, Mar del Plata, Provincia de Buenos Aires, Argentina"
146,532,Barrio Regional,25,Mar del Plata,-57.6030559,-37.9901575,"Remedios de Escalada & Rodríguez Peña, Mar del Plata, Provincia de Buenos Aires, Argentina"
147,532,Barrio Regional,128,Mar del Plata,-57.5980671,-37.9926624,"Rodríguez Peña & Tres Arroyos, Mar del Plata, Provincia de Buenos Aires, Argentina"
148,532,Barrio Regional,563,Mar del Plata,-57.5921228,-37.9956927,"Rodríguez Peña & Juncal, Mar del Plata, Provincia de Buenos Aires, Argentina"
149,532,Barrio Regional,114,Mar del Plata,-57.5901096,-37.9967059,"Rodríguez Peña & Teodoro Bronzini, Mar del Plata, Provincia de Buenos Aires, Argentina"
150,532,Barrio Regional,398,Mar del Plata,-57.5861177,-37.9987317,"Chile & Rodríguez Peña, Mar del Plata, Provincia de Buenos Aires, Argentina"
151,532,Barrio Regional,88,Mar del Plata,-57.5700073,-38.0068817,"Dorrego & Rodríguez Peña, Mar del Plata, Provincia de Buenos Aires, Argentina"
152,532,Barrio Regional,151,Mar del Plata,-57.5568695,-38.013544,"Santiago del Estero & Rodríguez Peña, Mar del Plata, Provincia de Buenos Aires, Argentina"
153,532,Barrio Regional,457,Mar del Plata,-57.5450599,-38.0128302,"Garay & Las Heras, Mar del Plata, Provincia de Buenos Aires, Argentina"
154,532,Barrio Regional,570,Mar del Plata,-57.5457799,-38.0102407,"Alberti & Arenales, Mar del Plata, Provincia de Buenos Aires, Argentina"
155,532,Barrio Regional,571,Mar del Plata,-57.5477932,-38.0092309,"Alberti & Buenos Aires, Mar del Plata, Provincia de Buenos Aires, Argentina"
156,532,Barrio Regional,80,Mar del Plata,-57.5431804,-38.0035742,"Buenos Aires 1900, Mar del Plata, Provincia de Buenos Aires, Argentina"
157,532,Barrio Regional,705,Mar del Plata,-57.5415961,-38.0009489,"Avenida Pedro Luro & Buenos Aires, Mar del Plata, Provincia de Buenos Aires, Argentina"
158,532,Barrio Regional,436,Mar del Plata,-57.5462189,-37.9986082,"Avenida Pedro Luro & Córdoba, Mar del Plata, Provincia de Buenos Aires, Argentina"
159,532,Barrio Regional,85,Mar del Plata,-57.5470348,-37.9978925,"Diagonal Alberdi Sur & San Luis, Mar del Plata, Provincia de Buenos Aires, Argentina"
160,532,Barrio Regional,57,Mar del Plata,-57.5491867,-37.9970932,"Avenida Pedro Luro & Hipólito Yrigoyen, Mar del Plata, Provincia de Buenos Aires, Argentina"
161,532,Barrio Regional,56,Mar del Plata,-57.5512087,-37.9960776,"Avenida Pedro Luro & Catamarca, Mar del Plata, Provincia de Buenos Aires, Argentina"
162,532,Barrio Regional,596,Mar del Plata,-57.5522649,-37.9955452,"Avenida Independencia & Avenida Pedro Luro, Mar del Plata, Provincia de Buenos Aires, Argentina"
163,532,Barrio Regional,59,Mar del Plata,-57.5533841,-37.9949944,"Avenida Pedro Luro & Salta, Mar del Plata, Provincia de Buenos Aires, Argentina"
164,532,Barrio Regional,202,Mar del Plata,-57.5503209,-37.9930958,"Avenida Independencia & 3 de Febrero, Mar del Plata, Provincia de Buenos Aires, Argentina"
165,532,Barrio Regional,703,Mar del Plata,-57.5483354,-37.9906601,"Avenida Libertad & Avenida Independencia, Mar del Plata, Provincia de Buenos Aires, Argentina"
166,532,Barrio Regional,508,Mar del Plata,-57.5504221,-37.9896194,"Avenida Libertad & Jujuy, Mar del Plata, Provincia de Buenos Aires, Argentina"
167,532,Barrio Regional,102,Mar del Plata,-57.558436,-37.9855698,"Avenida Libertad & San Juan, Mar del Plata, Provincia de Buenos Aires, Argentina"
168,532,Barrio Regional,431,Mar del Plata,-57.5624579,-37.9835775,"Avenida Libertad 4600, Mar del Plata, Provincia de Buenos Aires, Argentina"
169,532,Barrio Regional,49,Mar del Plata,-57.5665035,-37.9814584,"Avenida Libertad & Avenida Juan Héctor Jara, Mar del Plata, Provincia de Buenos Aires, Argentina"
170,532,Barrio Regional,51,Mar del Plata,-57.5685616,-37.980484,"Avenida Libertad & Marconi, Mar del Plata, Provincia de Buenos Aires, Argentina"
171,532,Barrio Regional,537,Mar del Plata,-57.5715179,-37.9789566,"México & Avenida Libertad, Mar del Plata, Provincia de Buenos Aires, Argentina"
172,532,Barrio Regional,137,Mar del Plata,-57.574544,-37.9774175,"Avenida Libertad & Teodoro Bronzini, Mar del Plata, Provincia de Buenos Aires, Argentina"
173,532,Barrio Regional,125,Mar del Plata,-57.5792254,-37.9748161,"Libertad y champagnat, Mar del Plata, Provincia de Buenos Aires, Argentina"
174,532,Barrio Regional,341,Mar del Plata,-57.5865058,-37.9714155,"Avenida Libertad & Estado de Israel, Mar del Plata, Provincia de Buenos Aires, Argentina"
175,532,Barrio Regional,432,Mar del Plata,-57.5874362,-37.9708284,"Avenida Libertad & Remedios de Escalada, Mar del Plata, Provincia de Buenos Aires, Argentina"
176,532,Barrio Regional,327,Mar del Plata,-57.5905714,-37.9692425,"Avenida Libertad & Avenida Doctor Arturo Alió, Mar del Plata, Provincia de Buenos Aires, Argentina"
177,532,Barrio Regional,13,Mar del Plata,-57.5878912,-37.9661062,"Avenida Doctor Arturo Alió & Ituzaingó, Mar del Plata, Provincia de Buenos Aires, Argentina"
178,532,Barrio Regional,14,Mar del Plata,-57.5853132,-37.9629357,"Avenida Doctor Arturo Alió & Beruti, Mar del Plata, Provincia de Buenos Aires, Argentina"
179,532,Barrio Regional,599,Mar del Plata,-57.6044113,-37.9532762,"Beruti & República Árabe Siria, Mar del Plata, Provincia de Buenos Aires, Argentina"
180,532,Barrio Regional,310,Mar del Plata,-57.6073873,-37.9517839,"Beruti 9600, Mar del Plata, Provincia de Buenos Aires, Argentina"
181,532,Barrio Regional,317,Mar del Plata,-57.588342,-37.9525605,"Eduardo Bradley F Acosta, Mar del Plata, Provincia de Buenos Aires, Argentina"
182,533,Puerto,211,Mar del Plata,-57.5464008,-38.0442365,"Magallanes & Figueroa Alcorta, Mar del Plata, Provincia de Buenos Aires, Argentina"
183,533,Puerto,357,Mar del Plata,-57.5534127,-38.0389714,"Magallanes 4000, Mar del Plata, Provincia de Buenos Aires, Argentina"
184,533,Puerto,367,Mar del Plata,-57.5545189,-38.0314965,"Avenida Juan B. Justo & Martín Miguel de Güemes, Mar del Plata, Provincia de Buenos Aires, Argentina"
185,533,Puerto,457,Mar del Plata,-57.5450599,-38.0128302,"Garay & Las Heras, Mar del Plata, Provincia de Buenos Aires, Argentina"
186,533,Puerto,103,Mar del Plata,-57.5441499,-38.0064477,"Avenida Colon y Tucuman, Mar del Plata, Provincia de Buenos Aires, Argentina"
187,533,Puerto,80,Mar del Plata,-57.5431804,-38.0035742,"Buenos Aires 1900, Mar del Plata, Provincia de Buenos Aires, Argentina"
188,533,Puerto,705,Mar del Plata,-57.5415961,-38.0009489,"Avenida Pedro Luro & Buenos Aires, Mar del Plata, Provincia de Buenos Aires, Argentina"
189,533,Puerto,436,Mar del Plata,-57.5462189,-37.9986082,"Avenida Pedro Luro & Córdoba, Mar del Plata, Provincia de Buenos Aires, Argentina"
190,533,Puerto,85,Mar del Plata,-57.5470348,-37.9978925,"Diagonal Alberdi Sur & San Luis, Mar del Plata, Provincia de Buenos Aires, Argentina"
191,533,Puerto,57,Mar del Plata,-57.5491867,-37.9970932,"Avenida Pedro Luro & Hipólito Yrigoyen, Mar del Plata, Provincia de Buenos Aires, Argentina"
192,533,Puerto,56,Mar del Plata,-57.5512087,-37.9960776,"Avenida Pedro Luro & Catamarca, Mar del Plata, Provincia de Buenos Aires, Argentina"
193,533,Puerto,596,Mar del Plata,-57.5522649,-37.9955452,"Avenida Independencia & Avenida Pedro Luro, Mar del Plata, Provincia de Buenos Aires, Argentina"
194,533,Puerto,59,Mar del Plata,-57.5533841,-37.9949944,"Avenida Pedro Luro & Salta, Mar del Plata, Provincia de Buenos Aires, Argentina"
195,533,Puerto,3,Mar del Plata,-57.5610421,-37.9887983,"San Juan & 9 de Julio,  Mar del Plata, Provincia de Buenos Aires, Argentina"
196,533,Puerto,509,Mar del Plata,-57.5650311,-37.9867903,"9 de Julio & Italia, Mar del Plata, Provincia de Buenos Aires, Argentina"
197,533,Puerto,484,Mar del Plata,-57.5751349,-37.9816377,"9 de Julio & Perú, Mar del Plata, Provincia de Buenos Aires, Argentina"
198,533,Puerto,139,Mar del Plata,-57.5774929,-37.9668045,"Beruti 6654, Mar del Plata, Provincia de Buenos Aires, Argentina"
199,533,Puerto,14,Mar del Plata,-57.5853132,-37.9629357,"Avenida Doctor Arturo Alió & Beruti, Mar del Plata, Provincia de Buenos Aires, Argentina"
200,533,Puerto,599,Mar del Plata,-57.6044113,-37.9532762,"Beruti & República Árabe Siria, Mar del Plata, Provincia de Buenos Aires, Argentina"
201,533,Puerto,310,Mar del Plata,-57.6073873,-37.9517839,"Beruti 9600, Mar del Plata, Provincia de Buenos Aires, Argentina"
202,541,Las Maravillas,589,Mar del Plata,-57.5315803,-37.9323532,"Ruta Provincial 11 & Calle Scaglia, Mar del Plata, Provincia de Buenos Aires, Argentina"
203,541,Las Maravillas,250,Mar del Plata,-57.5427289,-37.9238923,"Calle Scaglia & Los Granados, Mar del Plata, Provincia de Buenos Aires, Argentina"
204,541,Las Maravillas,249,Mar del Plata,-57.5454262,-37.9261278,"Kraglievich & Los Granados, Mar del Plata, Provincia de Buenos Aires, Argentina"
205,541,Las Maravillas,593,Mar del Plata,-57.5496941,-37.9368941,"Mahatma Ghandi & Avenida Fray Luis Beltrán, Mar del Plata, Provincia de Buenos Aires, Argentina"
206,541,Las Maravillas,501,Mar del Plata,-57.5458627,-37.9398081,"Avenida Fray Luis Beltrán & E. Calabrese, Mar del Plata, Provincia de Buenos Aires, Argentina"
207,541,Las Maravillas,217,Mar del Plata,-57.5394133,-37.9448181,"Avenida Fray Luis Beltrán & Belisario Roldán, Mar del Plata, Provincia de Buenos Aires, Argentina"
208,541,Las Maravillas,236,Mar del Plata,-57.542612,-37.9518688,"Avenida Carlos Tejedor & Vuelta de Obligado, Mar del Plata, Provincia de Buenos Aires, Argentina"
209,541,Las Maravillas,245,Mar del Plata,-57.5458781,-37.9560482,"Avenida Carlos Tejedor & Avenida José Manuel Estrada, Mar del Plata, Provincia de Buenos Aires, Argentina"
210,541,Las Maravillas,253,Mar del Plata,-57.5496819,-37.9607639,"Avenida Carlos Tejedor & Joaquina Acevedo, Mar del Plata, Provincia de Buenos Aires, Argentina"
211,541,Las Maravillas,30,Mar del Plata,-57.5534873,-37.965546,"Constitucion Y Tejedor, Mar del Plata, Provincia de Buenos Aires, Argentina"
212,541,Las Maravillas,257,Mar del Plata,-57.5561306,-37.9688049,"Avenida Carlos Tejedor & Florisbelo Acosta, Mar del Plata, Provincia de Buenos Aires, Argentina"
213,541,Las Maravillas,256,Mar del Plata,-57.5601005,-37.9735078,"Avenida Carlos Tejedor & Río Negro, Mar del Plata, Provincia de Buenos Aires, Argentina"
214,541,Las Maravillas,258,Mar del Plata,-57.5639149,-37.9782436,"Avenida Juan Héctor Jara & Ituzaingó, Mar del Plata, Provincia de Buenos Aires, Argentina"
215,541,Las Maravillas,49,Mar del Plata,-57.5665035,-37.9814584,"Avenida Libertad & Avenida Juan Héctor Jara, Mar del Plata, Provincia de Buenos Aires, Argentina"
216,541,Las Maravillas,707,Mar del Plata,-57.5705099,-37.9863535,"Avenida Pedro Luro & Avenida Juan Héctor Jara, Mar del Plata, Provincia de Buenos Aires, Argentina"
217,541,Las Maravillas,58,Mar del Plata,-57.5663445,-37.9884359,"Avenida Pedro Luro & Italia, Mar del Plata, Provincia de Buenos Aires, Argentina"
218,541,Las Maravillas,50,Mar del Plata,-57.5623817,-37.9904422,"Avenida Pedro Luro & San Juan, Mar del Plata, Provincia de Buenos Aires, Argentina"
219,541,Las Maravillas,11,Mar del Plata,-57.5573939,-37.9929584,"Avenida Pedro Luro & 14 de Julio, Mar del Plata, Provincia de Buenos Aires, Argentina"
220,541,Las Maravillas,59,Mar del Plata,-57.5533841,-37.9949944,"Avenida Pedro Luro & Salta, Mar del Plata, Provincia de Buenos Aires, Argentina"
221,541,Las Maravillas,596,Mar del Plata,-57.5522649,-37.9955452,"Avenida Independencia & Avenida Pedro Luro, Mar del Plata, Provincia de Buenos Aires, Argentina"
222,541,Las Maravillas,56,Mar del Plata,-57.5512087,-37.9960776,"Avenida Pedro Luro & Catamarca, Mar del Plata, Provincia de Buenos Aires, Argentina"
223,541,Las Maravillas,57,Mar del Plata,-57.5491867,-37.9970932,"Avenida Pedro Luro & Hipólito Yrigoyen, Mar del Plata, Provincia de Buenos Aires, Argentina"
224,541,Las Maravillas,85,Mar del Plata,-57.5470348,-37.9978925,"Diagonal Alberdi Sur & San Luis, Mar del Plata, Provincia de Buenos Aires, Argentina"
225,541,Las Maravillas,436,Mar del Plata,-57.5462189,-37.9986082,"Avenida Pedro Luro & Córdoba, Mar del Plata, Provincia de Buenos Aires, Argentina"
226,541,Las Maravillas,705,Mar del Plata,-57.5415961,-38.0009489,"Avenida Pedro Luro & Buenos Aires, Mar del Plata, Provincia de Buenos Aires, Argentina"
227,541,Las Maravillas,80,Mar del Plata,-57.5431804,-38.0035742,"Buenos Aires 1900, Mar del Plata, Provincia de Buenos Aires, Argentina"
228,541,Las Maravillas,103,Mar del Plata,-57.5441499,-38.0064477,"Avenida Colon y Tucuman, Mar del Plata, Provincia de Buenos Aires, Argentina"
229,541,Las Maravillas,571,Mar del Plata,-57.5477932,-38.0092309,"Alberti & Buenos Aires, Mar del Plata, Provincia de Buenos Aires, Argentina"
230,541,Las Maravillas,9,Mar del Plata,-57.5533191,-38.0108378,"Alvarado & Santa Fe, Mar del Plata, Provincia de Buenos Aires, Argentina"
231,541,Las Maravillas,555,Mar del Plata,-57.5503219,-38.0123911,"Buenos Aires & Alvarado, Mar del Plata, Provincia de Buenos Aires, Argentina"
232,542,Estación Camet,346,Mar del Plata,-57.5827558,-37.946395,"Mariani y Monsenior Zaballa, Mar del Plata, Provincia de Buenos Aires, Argentina"
233,542,Estación Camet,27,Mar del Plata,-57.5815224,-37.9512946,"Constitucion y Ruta 2, Mar del Plata, Provincia de Buenos Aires, Argentina"
234,542,Estación Camet,701,Mar del Plata,-57.5811967,-37.9520342,"Florida Premium Outlet, Mar del Plata, Provincia de Buenos Aires, Argentina"
235,542,Estación Camet,130,Mar del Plata,-57.5801545,-37.9568226,"Monseñor Zabala 53, Mar del Plata, Provincia de Buenos Aires, Argentina"
236,542,Estación Camet,513,Mar del Plata,-57.578702,-37.9618148,"Avenida Monseñor Zabala & Strobel, Mar del Plata, Provincia de Buenos Aires, Argentina"
237,542,Estación Camet,139,Mar del Plata,-57.5774929,-37.9668045,"Beruti 6654, Mar del Plata, Provincia de Buenos Aires, Argentina"
238,542,Estación Camet,138,Mar del Plata,-57.5693676,-37.9710265,"Berutti & Teodoro Bronzini, Mar del Plata, Provincia de Buenos Aires, Argentina"
239,542,Estación Camet,81,Mar del Plata,-57.571921,-37.9741756,"Teodoro Bronzini & Ituzaingó, Mar del Plata, Provincia de Buenos Aires, Argentina"
240,542,Estación Camet,258,Mar del Plata,-57.5639149,-37.9782436,"Avenida Juan Héctor Jara & Ituzaingó, Mar del Plata, Provincia de Buenos Aires, Argentina"
241,542,Estación Camet,266,Mar del Plata,-57.5588055,-37.9808407,"Ituzaingó & Misiones, Mar del Plata, Provincia de Buenos Aires, Argentina"
242,542,Estación Camet,102,Mar del Plata,-57.558436,-37.9855698,"Avenida Libertad & San Juan, Mar del Plata, Provincia de Buenos Aires, Argentina"
243,542,Estación Camet,59,Mar del Plata,-57.5533841,-37.9949944,"Avenida Pedro Luro & Salta, Mar del Plata, Provincia de Buenos Aires, Argentina"
244,542,Estación Camet,596,Mar del Plata,-57.5522649,-37.9955452,"Avenida Independencia & Avenida Pedro Luro, Mar del Plata, Provincia de Buenos Aires, Argentina"
245,542,Estación Camet,56,Mar del Plata,-57.5512087,-37.9960776,"Avenida Pedro Luro & Catamarca, Mar del Plata, Provincia de Buenos Aires, Argentina"
246,542,Estación Camet,57,Mar del Plata,-57.5491867,-37.9970932,"Avenida Pedro Luro & Hipólito Yrigoyen, Mar del Plata, Provincia de Buenos Aires, Argentina"
247,542,Estación Camet,437,Mar del Plata,-57.5475205,-37.9967517,"25 de Mayo 2800, Mar del Plata, Provincia de Buenos Aires, Argentina"
248,542,Estación Camet,85,Mar del Plata,-57.5470348,-37.9978925,"Diagonal Alberdi Sur & San Luis, Mar del Plata, Provincia de Buenos Aires, Argentina"
249,542,Estación Camet,438,Mar del Plata,-57.5424627,-37.9991601,"Diagonal Alberdi Sur & Corrientes, Mar del Plata, Provincia de Buenos Aires, Argentina"
250,542,Estación Camet,705,Mar del Plata,-57.5415961,-38.0009489,"Avenida Pedro Luro & Buenos Aires, Mar del Plata, Provincia de Buenos Aires, Argentina"
251,542,Estación Camet,80,Mar del Plata,-57.5431804,-38.0035742,"Buenos Aires 1900, Mar del Plata, Provincia de Buenos Aires, Argentina"
252,542,Estación Camet,9,Mar del Plata,-57.5533191,-38.0108378,"Alvarado & Santa Fe, Mar del Plata, Provincia de Buenos Aires, Argentina"
253,542,Estación Camet,556,Mar del Plata,-57.5583275,-38.0083689,"Hipólito Yrigoyen & Alvarado, Mar del Plata, Provincia de Buenos Aires, Argentina"
254,542,Estación Camet,477,Mar del Plata,-57.5613468,-38.0067858,"Avenida Independencia & Alvarado, Mar del Plata, Provincia de Buenos Aires, Argentina"
255,542,Estación Camet,88,Mar del Plata,-57.5700073,-38.0068817,"Dorrego & Rodríguez Peña, Mar del Plata, Provincia de Buenos Aires, Argentina"
256,542,Estación Camet,68,Mar del Plata,-57.575201,-38.0132784,"Avenida Juan José Paso & Dorrego, Mar del Plata, Provincia de Buenos Aires, Argentina"
