Orden,Linea Colectivo,Ramal,Nº Camara,Ciudad,Latitud,Longitud,Direccion
1077,562,,23,Mar del Plata,-57.5743265,-37.991243,"Avenida Colon y Avenida Juan Héctor Jara, Mar del Plata, Provincia de Buenos Aires, Argentina"
1078,562,,136,Mar del Plata,-57.5773882,-37.9896848,"Avenida Colon y Uruguay, Mar del Plata, Provincia de Buenos Aires, Argentina"
1079,562,,485,Mar del Plata,-57.5823898,-37.9871712,"Avenida Colon y Teodoro Bronzini, Mar del Plata, Provincia de Buenos Aires, Argentina"
1080,562,,340,Mar del Plata,-57.5933526,-37.981633,"Avenida Colon y David Ortega, Mar del Plata, Provincia de Buenos Aires, Argentina"
1081,562,,22,Mar del Plata,-57.5984115,-37.9790964,"Avenida Colon y Avenida Doctor Arturo Alió, Mar del Plata, Provincia de Buenos Aires, Argentina"
1082,562,,413,Mar del Plata,-57.6005163,-37.978019,"Avenida Colon y Termas de Río Hondo, Mar del Plata, Provincia de Buenos Aires, Argentina"
1083,562,,24,Mar del Plata,-57.6034481,-37.9764599,"Avenida Colon y José María Calaza, Mar del Plata, Provincia de Buenos Aires, Argentina"
1084,562,,414,Mar del Plata,-57.6114725,-37.9724395,"Avenida Colon y Brasil, Mar del Plata, Provincia de Buenos Aires, Argentina"
1085,562,,335,Mar del Plata,-57.6144444,-37.9709325,"Avenida Colon y Leguizamón Onésimo, Mar del Plata, Provincia de Buenos Aires, Argentina"
1086,562,,334,Mar del Plata,-57.6224621,-37.9668719,"Avenida Colon y Avenida Fermin Errea, Mar del Plata, Provincia de Buenos Aires, Argentina"
1087,562,,332,Mar del Plata,-57.6397427,-37.9581543,"Avenida Colon y Avenida Héctor Tarantino, Mar del Plata, Provincia de Buenos Aires, Argentina"
1088,562,,333,Mar del Plata,-57.6453511,-37.9627938,"Avenida Juan B. Justo & Avenida Héctor Tarantino, Mar del Plata, Provincia de Buenos Aires, Argentina"
1089,562,,395,Mar del Plata,-57.654964,-37.9554764,"J B Justo y Antunez, Mar del Plata, Provincia de Buenos Aires, Argentina"
1090,563,,61,Mar del Plata,-57.5440553,-38.044661,"Avenida de los Trabajadores & 12 de Octubre, Mar del Plata, Provincia de Buenos Aires, Argentina"
1091,563,,211,Mar del Plata,-57.5464008,-38.0442365,"Magallanes & Figueroa Alcorta, Mar del Plata, Provincia de Buenos Aires, Argentina"
1092,563,,382,Mar del Plata,-57.5464388,-38.0429034,"12 de Octubre & Bermejo, Mar del Plata, Provincia de Buenos Aires, Argentina"
1093,563,,33,Mar del Plata,-57.5482786,-38.0415439,"Avenida Edison & 12 de Octubre, Mar del Plata, Provincia de Buenos Aires, Argentina"
1094,563,,214,Mar del Plata,-57.5475286,-38.0367524,"Avenida Juan B. Justo & Urquiza, Mar del Plata, Provincia de Buenos Aires, Argentina"
1095,563,,43,Mar del Plata,-57.5500985,-38.0347907,"Avenida Juan B. Justo 800, Mar del Plata, Provincia de Buenos Aires, Argentina"
1096,563,,367,Mar del Plata,-57.5545189,-38.0314965,"Avenida Juan B. Justo & Martín Miguel de Güemes, Mar del Plata, Provincia de Buenos Aires, Argentina"
1097,563,,366,Mar del Plata,-57.5586371,-38.0283539,"Avenida Juan B. Justo & Fleming, Mar del Plata, Provincia de Buenos Aires, Argentina"
1098,563,,365,Mar del Plata,-57.562426,-38.0255469,"Avenida Juan B. Justo & Entre Ríos, Mar del Plata, Provincia de Buenos Aires, Argentina"
1099,563,,147,Mar del Plata,-57.5658417,-38.0229299,"Avenida Juan B. Justo & Talcahuano, Mar del Plata, Provincia de Buenos Aires, Argentina"
